residual [ 0 ] = 5.5511151231e-17
residual [ 1 ] = -2.7755575616e-17
residual [ 0 ] = 1.2278281009e-07
residual [ 1 ] = 1.4160682002e-07
residual [ 0 ] = 5.6161997275e-10
residual [ 1 ] = 6.4769997699e-10
residual [ 0 ] = 5.5511151231e-17
residual [ 1 ] = -2.7755575616e-17
residual [ 0 ] = 1.2278281009e-07
residual [ 1 ] = 1.4160682002e-07
residual [ 0 ] = 5.6161997275e-10
residual [ 1 ] = 6.4769997699e-10
residual [ 0 ] = 5.5511151231e-17
residual [ 1 ] = -2.7755575616e-17
residual [ 0 ] = 1.2278281009e-07
residual [ 1 ] = 1.4160682002e-07
residual [ 0 ] = 5.6161997275e-10
residual [ 1 ] = 6.4769997699e-10
residual [ 0 ] = 5.5511151231e-17
residual [ 1 ] = -2.7755575616e-17
residual [ 0 ] = 1.2278281009e-07
residual [ 1 ] = 1.4160682002e-07
residual [ 0 ] = 5.6161997275e-10
residual [ 1 ] = 6.4769997699e-10
residual [ 0 ] = 5.5511151231e-17
residual [ 1 ] = -2.7755575616e-17
residual [ 0 ] = 1.2278281009e-07
residual [ 1 ] = 1.4160682002e-07
residual [ 0 ] = 5.6161997275e-10
residual [ 1 ] = 6.4769997699e-10
residual [ 0 ] = 5.5511151231e-17
residual [ 1 ] = -2.7755575616e-17
residual [ 0 ] = 1.2278281009e-07
residual [ 1 ] = 1.4160682002e-07
residual [ 0 ] = 5.6161997275e-10
residual [ 1 ] = 6.4769997699e-10
residual [ 0 ] = 5.5511151231e-17
residual [ 1 ] = -2.7755575616e-17
residual [ 0 ] = 1.2278281009e-07
residual [ 1 ] = 1.4160682002e-07
residual [ 0 ] = 5.6161997275e-10
residual [ 1 ] = 6.4769997699e-10
residual [ 0 ] = 5.5511151231e-17
residual [ 1 ] = -2.7755575616e-17
residual [ 0 ] = 1.2278281009e-07
residual [ 1 ] = 1.4160682002e-07
residual [ 0 ] = 5.6161997275e-10
residual [ 1 ] = 6.4769997699e-10
