192 0.213 0.974 0.974
193 0.214 0.975 0.975
194 0.216 0.977 0.977
195 0.217 0.978 0.978
196 0.218 0.98 0.98
197 0.219 0.981 0.981
198 0.22 0.982 0.982
199 0.221 0.984 0.984
200 0.222 0.985 0.985
201 0.223 0.986 0.986
202 0.224 0.987 0.987
203 0.226 0.988 0.988
204 0.227 0.989 0.989
205 0.228 0.99 0.99
206 0.229 0.991 0.991
207 0.23 0.992 0.992
208 0.231 0.993 0.993
209 0.232 0.994 0.994
210 0.233 0.995 0.995
211 0.234 0.995 0.995
212 0.236 0.996 0.996
213 0.237 0.996 0.996
214 0.238 0.997 0.997
215 0.239 0.998 0.998
216 0.24 0.998 0.998
217 0.241 0.998 0.998
218 0.242 0.999 0.999
219 0.243 0.999 0.999
220 0.244 0.999 0.999
221 0.246 1 1
222 0.247 1 1
223 0.248 1 1
224 0.249 1 1
225 0.25 1 1
226 0.251 1 1
227 0.252 1 1
228 0.253 1 1
229 0.254 1 1
230 0.256 0.999 0.999
231 0.257 0.999 0.999
232 0.258 0.999 0.999
233 0.259 0.998 0.998
234 0.26 0.998 0.998
235 0.261 0.998 0.998
236 0.262 0.997 0.997
237 0.263 0.996 0.996
238 0.264 0.996 0.996
239 0.266 0.995 0.995
240 0.267 0.995 0.995
241 0.268 0.994 0.994
242 0.269 0.993 0.993
243 0.27 0.992 0.992
244 0.271 0.991 0.991
245 0.272 0.99 0.99
246 0.273 0.989 0.989
247 0.274 0.988 0.988
248 0.276 0.987 0.987
249 0.277 0.986 0.986
250 0.278 0.985 0.985
251 0.279 0.984 0.984
252 0.28 0.982 0.982
253 0.281 0.981 0.981
254 0.282 0.98 0.98
255 0.283 0.978 0.978
256 0.284 0.977 0.977
257 0.286 0.975 0.975
258 0.287 0.974 0.974
259 0.288 0.972 0.972
260 0.289 0.97 0.97
261 0.29 0.969 0.969
262 0.291 0.967 0.967
263 0.292 0.965 0.965
264 0.293 0.963 0.963
265 0.294 0.961 0.961
266 0.296 0.959 0.959
267 0.297 0.957 0.957
268 0.298 0.955 0.955
269 0.299 0.953 0.953
270 0.3 0.951 0.951
271 0.301 0.949 0.949
272 0.302 0.947 0.947
273 0.303 0.944 0.944
274 0.304 0.942 0.942
275 0.306 0.94 0.94
276 0.307 0.937 0.937
277 0.308 0.935 0.935
278 0.309 0.932 0.932
279 0.31 0.93 0.93
280 0.311 0.927 0.927
281 0.312 0.925 0.925
282 0.313 0.922 0.922
283 0.314 0.919 0.919
284 0.316 0.916 0.916
285 0.317 0.914 0.914
286 0.318 0.911 0.911
287 0.319 0.908 0.908
288 0.32 0.905 0.905
289 0.321 0.902 0.902
290 0.322 0.899 0.899
291 0.323 0.896 0.896
292 0.324 0.893 0.893
293 0.326 0.889 0.889
294 0.327 0.886 0.886
295 0.328 0.883 0.883
296 0.329 0.88 0.88
297 0.33 0.876 0.876
298 0.331 0.873 0.873
299 0.332 0.869 0.869
300 0.333 0.866 0.866
301 0.334 0.863 0.863
302 0.336 0.859 0.859
303 0.337 0.855 0.855
304 0.338 0.852 0.852
305 0.339 0.848 0.848
306 0.34 0.844 0.844
307 0.341 0.841 0.841
308 0.342 0.837 0.837
309 0.343 0.833 0.833
310 0.344 0.829 0.829
311 0.346 0.825 0.825
312 0.347 0.821 0.821
313 0.348 0.817 0.817
314 0.349 0.813 0.813
315 0.35 0.809 0.809
316 0.351 0.805 0.805
317 0.352 0.801 0.801
318 0.353 0.797 0.797
319 0.354 0.792 0.792
320 0.356 0.788 0.788
321 0.357 0.784 0.784
322 0.358 0.779 0.779
323 0.359 0.775 0.775
324 0.36 0.771 0.771
325 0.361 0.766 0.766
326 0.362 0.762 0.762
327 0.363 0.757 0.757
328 0.364 0.752 0.752
329 0.366 0.748 0.748
330 0.367 0.743 0.743
331 0.368 0.738 0.738
332 0.369 0.734 0.734
333 0.37 0.729 0.729
334 0.371 0.724 0.724
335 0.372 0.719 0.719
336 0.373 0.714 0.714
337 0.374 0.71 0.71
338 0.376 0.705 0.705
339 0.377 0.7 0.7
340 0.378 0.695 0.695
341 0.379 0.69 0.69
342 0.38 0.685 0.685
343 0.381 0.679 0.679
344 0.382 0.674 0.674
345 0.383 0.669 0.669
346 0.384 0.664 0.664
347 0.386 0.659 0.659
348 0.387 0.653 0.653
349 0.388 0.648 0.648
350 0.389 0.643 0.643
351 0.39 0.637 0.637
352 0.391 0.632 0.632
353 0.392 0.627 0.627
354 0.393 0.621 0.621
355 0.394 0.616 0.616
356 0.396 0.61 0.61
357 0.397 0.605 0.605
358 0.398 0.599 0.599
359 0.399 0.593 0.593
360 0.4 0.588 0.588
361 0.401 0.582 0.582
362 0.402 0.576 0.576
363 0.403 0.571 0.571
364 0.404 0.565 0.565
365 0.406 0.559 0.559
366 0.407 0.553 0.553
367 0.408 0.548 0.548
368 0.409 0.542 0.542
