4 1.66418e-35 1.66418e-35
16 7.11683e-26 7.11683e-26
64 1.91695e-15 1.91695e-15
256 4.95094e-16 1.42185e-15
1024 1.79868e-16 3.15226e-16
4096 1.55177e-12 1.55159e-12
16384 6.71555e-13 8.80218e-13
65536 1.3279e-11 1.26074e-11
262144 2.43475e-11 1.10685e-11
1048576 1.83518e-11 5.99563e-12
4194304 2.20593e-11 3.70743e-12
16777216 2.3537e-11 1.47769e-12
67108864 3.10999e-11 7.56292e-12
268435456 3.11452e-11 4.53009e-14
1073741824 3.03245e-11 8.2065e-13
4294967296 7.58113e-12 2.27434e-11
17179869184 1.89528e-12 5.68585e-12
68719476736 4.73821e-13 1.42146e-12
68719476736 172.35 64
