2 5.707963e-01
4 3.746299e-02
8 6.802185e-03
16 1.481476e-03
32 3.468608e-04
64 8.398421e-05
128 2.066671e-05
256 5.126233e-06
512 1.276547e-06
1024 3.185132e-07
2048 7.955053e-08
4096 1.987792e-08
8192 4.968265e-09
16384 1.241917e-09
32768 3.104739e-10
65536 7.759904e-11
131072 1.939893e-11
262144 4.857670e-12
524288 1.182165e-12
1048576 2.091660e-13
2097152 4.440892e-14
4194304 4.929390e-14
8388608 1.594280e-13
16777216 1.496581e-13
33554432 3.996803e-14
67108864 7.460699e-14
134217728 3.774758e-15
268435456 2.406964e-13
536870912 3.321787e-13
1073741824 1.707745e-12
