Test case...
f(353.00000000000) = 1.32542939706
f(354.00000000000) = 0.30112702614
f(355.00000000000) = -1.00003014390
f(356.00000000000) = -1.38176421151
f(357.00000000000) = -0.49311063539
f(358.00000000000) = 0.84890658481
f(359.00000000000) = 1.41044300587
f(360.00000000000) = 0.67522463193
f(361.00000000000) = -0.68079215465
f(362.00000000000) = -1.41089177388
f(363.00000000000) = -0.84382400286
f(364.00000000000) = 0.49905166489
f(365.00000000000) = 1.38310153344
f(366.00000000000) = 0.99553423064
f(367.00000000000) = -0.30732265267
f(368.00000000000) = -1.32762850641
f(369.00000000000) = -1.12731883403
f(370.00000000000) = 0.10944257546
f(371.00000000000) = 1.24558298579
f(372.00000000000) = 1.23654014328
f(373.00000000000) = 0.09062799564
f(374.00000000000) = -1.13860711324
f(375.00000000000) = -1.32101209317
f(376.00000000000) = -0.28888464679
f(377.00000000000) = 1.00884201158
f(378.00000000000) = 1.37904397702
f(379.00000000000) = 0.48135926977
f(380.00000000000) = -0.85888493020
f(381.00000000000) = -1.40947428630
f(382.00000000000) = -0.66419948370
f(383.00000000000) = 0.69173726110
f(384.00000000000) = 1.41169395816
f(385.00000000000) = 0.83374574044
f(386.00000000000) = -0.51074446602
f(387.00000000000) = -1.38565856584
f(388.00000000000) = -0.98660457052
f(389.00000000000) = 0.31952911698
f(390.00000000000) = 1.33188920791
f(391.00000000000) = 1.11971650341
f(392.00000000000) = -0.12191839049
f(393.00000000000) = -1.25146207843
f(394.00000000000) = -1.23041730288
f(395.00000000000) = -0.07813253342
f(396.00000000000) = 1.14598692693
f(397.00000000000) = 1.31649129166
f(398.00000000000) = 0.27661963414
f(399.00000000000) = -1.01757483931
f(400.00000000000) = -1.37621569828
f(401.00000000000) = -0.46957019100
f(402.00000000000) = 0.86879598435
f(403.00000000000) = 1.40839513835
f(404.00000000000) = 0.65312229729
f(405.00000000000) = -0.70262817187
f(406.00000000000) = -1.41238554015
f(407.00000000000) = -0.82360215637
f(408.00000000000) = 0.52239725174
f(409.00000000000) = 1.38810703576
